yaw_angle_raw,yaw_torque_raw,yaw_vel_motor,yaw_angle_imu,yaw_vel_imu,target_torque,target_velocity
3.11173,-0.00293064,-0.0109901,-2.96409,-0.0164061,0,0
3.11173,-0.00293064,-0.0109901,-2.96409,0.00366519,0,0
3.11183,-0.00293064,-0.0109901,-2.96409,-0.002618,0,0
3.11173,-0.00293064,-0.0109901,-2.96427,-0.00471239,0,0
3.11164,-0.00879097,-0.0329666,-2.96427,-0.0015708,0,0
3.11164,-0.00879097,0.0109901,-2.96409,0.0101229,0,0
3.11164,-0.00879097,-0.0109901,-2.96409,0.00471239,0,0
3.11173,-0.00293064,0.0109901,-2.96409,-0.000349066,0,0
3.11164,-0.00879097,-0.0109901,-2.96409,0.002618,0,0
3.11164,-0.00879097,-0.0109901,-2.96409,-0.00680679,0,0
3.11164,-0.00879097,-0.0109901,-2.96409,-0.002618,0,0
3.11173,-0.00293064,-0.0329666,-2.96409,-0.002618,0,0
3.11164,-0.00293064,-0.0109901,-2.96427,-0.00680679,0,0
3.11154,-0.00293064,0.0329666,-2.96409,0.00575959,0,0
3.11164,-0.00293064,-0.0109901,-2.96409,0.002618,0,0
3.11164,-0.00293064,-0.0329666,-2.96409,0.00366519,0,0
3.11154,-0.00293064,-0.0109901,-2.96409,0.0122173,0,0
3.11164,-0.00293064,-0.0109901,-2.96409,0.0101229,0,0
3.11154,-0.00293064,-0.0109901,-2.96409,0.0101229,0,0
3.11173,-0.00879097,-0.0109901,-2.96409,0.002618,0,0
3.11164,-0.00293064,-0.0549469,-2.96409,-0.0015708,0,0
3.11173,-0.00293064,-0.0109901,-2.96409,0.002618,0,0
3.11173,-0.00293064,0.0109901,-2.96409,0.00680679,0,0
3.11173,-0.00879097,-0.0329666,-2.96409,0.0015708,0,0
3.11154,-0.00879097,0.0329666,-2.96409,0.00575959,0,0
3.11164,-0.00879097,0.0109901,-2.96409,0.0132645,0,0
3.11164,-0.00879097,-0.0109901,-2.96409,0.0122173,0,0
3.11173,-0.00879097,-0.0109901,-2.96409,0.00785398,0,0
3.11192,-0.00293064,-0.0549469,-2.96392,0.0122173,0,0
3.11183,-0.00293064,-0.0329666,-2.96392,0.00907572,0,0
3.11154,-0.00293064,-0.0109901,-2.96392,0.0101229,0,0
3.11164,-0.00879097,0.0109901,-2.96392,0.00785398,0,0
3.11154,-0.00879097,-0.0329666,-2.96392,0.00471239,0,0
3.11173,-0.00879097,-0.0329666,-2.96392,0.00785398,0,0
3.11173,-0.00879097,-0.0109901,-2.96392,0.00907572,0,0
3.11164,-0.00879097,-0.0109901,-2.96392,0.00471239,0,0
3.11173,-0.00879097,-0.0329666,-2.96392,0.0101229,0,0
3.11173,-0.00293064,-0.0329666,-2.96392,0.00680679,0,0
3.11173,-0.00293064,0.0109901,-2.96392,0.0015708,0,0
3.11183,-0.00293064,-0.0329666,-2.96374,0.00907572,0,0
3.11173,-0.00293064,-0.0109901,-2.96374,0.0101229,0,0
3.11173,-0.00293064,-0.0329666,-2.96374,0.002618,0,0
3.11173,-0.00293064,0.0109901,-2.96374,0.00471239,0,0
3.11173,-0.00879097,-0.0109901,-2.96374,0.00575959,0,0
3.11173,-0.00293064,-0.0109901,-2.96374,0.0101229,0,0
3.11164,-0.00293064,-0.0109901,-2.96374,0.0143117,0,0
3.11173,-0.00293064,0.0109901,-2.96374,0.0143117,0,0
3.11164,-0.00293064,-0.0109901,-2.96374,0.0111701,0,0
3.11183,-0.00293064,-0.0329666,-2.96374,0.000523599,0,0
3.11173,-0.00293064,-0.0329666,-2.96374,-0.00471239,0,0
3.11183,-0.00879097,-0.0109901,-2.96374,0.00680679,0,0
3.11173,-0.00879097,0.0109901,-2.96357,0.0185005,0,0
3.11183,-0.00879097,-0.0329666,-2.96357,0.000523599,0,0
