yaw_angle_raw,yaw_torque_raw,yaw_vel_motor,yaw_angle_imu,yaw_vel_imu,target_torque,target_velocity
3.08097,0.0205126,0.0109901,-2.79218,-0.00366519,0,0
3.08107,0.0263739,-0.0109901,-2.79218,-0.00366519,0,0
3.08116,0.0263739,-0.0329666,-2.79218,0.00575959,0,0
3.08097,0.0263739,-0.0109901,-2.79218,0.00366519,0,0
3.08107,0.0146523,-0.0329666,-2.79218,-0.000349066,0,0
3.08126,0.0205126,-0.0329666,-2.79218,-0.0015708,0,0
3.08107,0.0205126,-0.0109901,-2.79218,0.0015708,0,0
3.08126,0.0205126,-0.0329666,-2.79218,0.00366519,0,0
3.08107,0.0263739,-0.0329666,-2.79218,0.002618,0,0
3.08097,0.0322342,0.0109901,-2.79218,0.000523599,0,0
3.08107,0.0322342,-0.0109901,-2.79218,-0.0015708,0,0
3.08107,0.0263739,-0.0109901,-2.79218,0.00680679,0,0
3.08126,0.0205126,-0.0329666,-2.79218,0.00575959,0,0
3.08107,0.0263739,-0.0329666,-2.79218,0.000523599,0,0
3.08107,0.0263739,0.0109901,-2.79218,0.0015708,0,0
3.08116,0.0146523,-0.0329666,-2.79218,0.00680679,0,0
3.08116,0.0205126,-0.0109901,-2.79218,-0.00680679,0,0
3.08107,0.0146523,0.0109901,-2.79218,-0.00890118,0,0
3.08107,0.0146523,-0.0109901,-2.79218,-0.00680679,0,0
3.08107,0.0146523,-0.0329666,-2.79218,0.000523599,0,0
3.08107,0.0146523,-0.0109901,-2.79218,0.000523599,0,0
3.08097,0.0146523,-0.0109901,-2.79218,0.000523599,0,0
3.08107,0.0146523,-0.0109901,-2.79218,-0.000349066,0,0
3.08116,0.0205126,-0.0549469,-2.79218,-0.00471239,0,0
3.08097,0.0205126,0.0109901,-2.79218,0.0015708,0,0
3.08116,0.0205126,-0.0329666,-2.79218,0.0015708,0,0
3.08116,0.0205126,-0.0329666,-2.79218,0.0015708,0,0
3.08107,0.0205126,0.0109901,-2.79218,0.0015708,0,0
3.08097,0.0205126,0.0109901,-2.79218,-0.000349066,0,0
3.08107,0.0205126,-0.0329666,-2.79218,0.0015708,0,0
3.08107,0.0205126,-0.0109901,-2.79218,0.00366519,0,0
3.08107,0.0205126,-0.0109901,-2.79218,-0.000349066,0,0
3.08107,0.0205126,-0.0329666,-2.79218,0.002618,0,0
3.08116,0.0146523,-0.0109901,-2.79218,0.00907572,0,0
3.08107,0.0205126,-0.0109901,-2.79218,0.0015708,0,0
3.08107,0.0205126,-0.0109901,-2.79218,-0.00785398,0,0
3.08107,0.0205126,0.0109901,-2.79218,0.0101229,0,0
3.08107,0.0205126,-0.0109901,-2.79218,0.0111701,0,0
3.08097,0.0263739,0.0109901,-2.79218,-0.00890118,0,0
3.08107,0.0263739,-0.0109901,-2.79218,-0.00680679,0,0
3.08107,0.0263739,-0.0109901,-2.79218,-0.0015708,0,0
3.08107,0.0263739,-0.0329666,-2.79218,0.00575959,0,0
3.08107,0.0263739,-0.0109901,-2.79218,0.0143117,0,0
3.08116,0.0205126,-0.0109901,-2.79218,0.00680679,0,0
3.08107,0.0205126,-0.0109901,-2.79218,-0.00680679,0,0
3.08107,0.0205126,-0.0329666,-2.79218,-0.00575959,0,0
3.08107,0.0146523,-0.0109901,-2.79218,-0.0015708,0,0
3.08107,0.00879097,0.0109901,-2.79218,0.00366519,0,0
3.08116,0.00879097,-0.0329666,-2.79218,0.00471239,0,0
3.08107,0.0146523,-0.0109901,-2.79218,0.00366519,0,0
3.08107,0.0205126,-0.0109901,-2.79218,0.0015708,0,0
3.08126,0.0205126,-0.0329666,-2.792,0.00471239,0,0
3.08097,0.0263739,0.0109901,-2.792,0.002618,0,0
3.08097,0.0263739,-0.0109901,-2.79218,-0.00680679,0,0
3.08116,0.0263739,-0.0329666,-2.79218,0.000523599,0,0
3.08107,0.0322342,0.0109901,-2.792,0.002618,0,0
3.08126,0.0322342,-0.0329666,-2.792,0.00575959,0,0
3.08116,0.0205126,-0.0329666,-2.792,0.00471239,0,0
3.08107,0.0205126,-0.0109901,-2.792,-0.00366519,0,0
3.08107,0.0263739,-0.0329666,-2.792,0.00366519,0,0
3.08097,0.0205126,0.0109901,-2.792,0.00471239,0,0
3.08107,0.0146523,-0.0109901,-2.792,-0.002618,0,0
3.08107,0.0146523,-0.0109901,-2.792,-0.00366519,0,0
3.08107,0.0205126,-0.0109901,-2.792,0.00366519,0,0
3.08097,0.0205126,0.0109901,-2.792,0.002618,0,0
3.08107,0.0205126,-0.0329666,-2.792,-0.002618,0,0
3.08107,0.0205126,-0.0109901,-2.792,-0.00471239,0,0
3.08107,0.0263739,-0.0109901,-2.792,0.002618,0,0
3.08107,0.0263739,-0.0109901,-2.792,-0.002618,0,0
3.08107,0.0263739,-0.0109901,-2.792,-0.00994838,0,0
3.08107,0.0263739,-0.0109901,-2.792,0.002618,0,0
3.08088,0.0263739,0.0329666,-2.792,0.00471239,0,0
3.08107,0.0205126,-0.0329666,-2.792,-0.000349066,0,0
3.08107,0.0205126,-0.0329666,-2.792,-0.00785398,0,0
3.08107,0.0205126,-0.0329666,-2.79218,-0.002618,0,0
3.08107,0.0205126,-0.0329666,-2.79218,-0.002618,0,0
3.08107,0.0146523,0.0109901,-2.79218,0.000523599,0,0
3.08107,0.0205126,-0.0109901,-2.79218,0.002618,0,0
3.08107,0.0205126,0.0109901,-2.792,0.00575959,0,0
3.08107,0.0205126,-0.0329666,-2.792,0.00366519,0,0
3.08107,0.0146523,-0.0109901,-2.792,-0.002618,0,0
3.08107,0.0205126,-0.0109901,-2.792,-0.00471239,0,0
3.08116,0.0205126,-0.0329666,-2.792,0.00471239,0,0
3.08097,0.0263739,0.0109901,-2.792,0.0015708,0,0
3.08107,0.0205126,-0.0329666,-2.792,-0.002618,0,0
3.08097,0.0263739,0.0109901,-2.792,0.00680679,0,0
3.08107,0.0205126,-0.0109901,-2.792,0.000523599,0,0
3.08107,0.0205126,-0.0329666,-2.792,-0.00785398,0,0
3.08107,0.0205126,-0.0109901,-2.792,0.0015708,0,0
3.08116,0.0263739,-0.0329666,-2.792,0.0122173,0,0
3.08116,0.0263739,-0.0329666,-2.792,0.002618,0,0
3.08107,0.0205126,0.0109901,-2.792,0.000523599,0,0
3.08107,0.0205126,-0.0109901,-2.792,-0.00994838,0,0
3.08107,0.0205126,0.0109901,-2.792,-0.00575959,0,0
3.08097,0.0205126,0.0329666,-2.792,0.002618,0,0
3.08107,0.0263739,-0.0109901,-2.792,0.00471239,0,0
3.08107,0.0263739,-0.0109901,-2.792,0.002618,0,0
3.08097,0.0322342,0.0109901,-2.792,0.0015708,0,0
3.08116,0.0263739,-0.0109901,-2.792,0.0111701,0,0
3.08107,0.0263739,-0.0329666,-2.792,0.00366519,0,0
3.08097,0.0322342,-0.0109901,-2.792,-0.00680679,0,0
3.08107,0.0322342,-0.0109901,-2.792,-0.00366519,0,0
3.08107,0.0263739,-0.0109901,-2.792,-0.00680679,0,0
3.08107,0.0263739,-0.0109901,-2.792,-0.002618,0,0
